# v2.3 | 20260227 | BIM Template family_parameter_bindings
ParameterGroup,ParameterName,GUID,DataType,BindingType,Description,RevitCategory,Maps_To_Shared_Param_GUID
COM_DAT,CST_SUP_SHIPPING_METHOD_TXT,67557de3-8a28-5941-80a6-17fe92c8db62,TEXT,Type,SHIPPINGMETHOD(AIR/SEA/ROAD),Casework,67557de3-8a28-5941-80a6-17fe92c8db62
COM_DAT,CST_SUP_SHIPPING_METHOD_TXT,67557de3-8a28-5941-80a6-17fe92c8db62,TEXT,Type,SHIPPINGMETHOD(AIR/SEA/ROAD),Electrical Equipment,67557de3-8a28-5941-80a6-17fe92c8db62
COM_DAT,CST_SUP_SHIPPING_METHOD_TXT,67557de3-8a28-5941-80a6-17fe92c8db62,TEXT,Type,SHIPPINGMETHOD(AIR/SEA/ROAD),Furniture,67557de3-8a28-5941-80a6-17fe92c8db62
COM_DAT,CST_SUP_SHIPPING_METHOD_TXT,67557de3-8a28-5941-80a6-17fe92c8db62,TEXT,Type,SHIPPINGMETHOD(AIR/SEA/ROAD),Generic Models,67557de3-8a28-5941-80a6-17fe92c8db62
COM_DAT,CST_SUP_SHIPPING_METHOD_TXT,67557de3-8a28-5941-80a6-17fe92c8db62,TEXT,Type,SHIPPINGMETHOD(AIR/SEA/ROAD),Mechanical Equipment,67557de3-8a28-5941-80a6-17fe92c8db62
COM_DAT,CST_SUP_SHIPPING_METHOD_TXT,67557de3-8a28-5941-80a6-17fe92c8db62,TEXT,Type,SHIPPINGMETHOD(AIR/SEA/ROAD),Plumbing Fixtures,67557de3-8a28-5941-80a6-17fe92c8db62
COM_DAT,CST_SUP_SHIPPING_METHOD_TXT,67557de3-8a28-5941-80a6-17fe92c8db62,TEXT,Type,SHIPPINGMETHOD(AIR/SEA/ROAD),Specialty Equipment,67557de3-8a28-5941-80a6-17fe92c8db62
COM_DAT,CST_S_CON_ADMIXTURE_TXT,e0b96ff1-0963-5e09-8a48-e514a0d99292,TEXT,Type,ADMIXTURETYPEUSED(IFANY),Casework,e0b96ff1-0963-5e09-8a48-e514a0d99292
COM_DAT,CST_S_CON_ADMIXTURE_TXT,e0b96ff1-0963-5e09-8a48-e514a0d99292,TEXT,Type,ADMIXTURETYPEUSED(IFANY),Electrical Equipment,e0b96ff1-0963-5e09-8a48-e514a0d99292
COM_DAT,CST_S_CON_ADMIXTURE_TXT,e0b96ff1-0963-5e09-8a48-e514a0d99292,TEXT,Type,ADMIXTURETYPEUSED(IFANY),Furniture,e0b96ff1-0963-5e09-8a48-e514a0d99292
COM_DAT,CST_S_CON_ADMIXTURE_TXT,e0b96ff1-0963-5e09-8a48-e514a0d99292,TEXT,Type,ADMIXTURETYPEUSED(IFANY),Generic Models,e0b96ff1-0963-5e09-8a48-e514a0d99292
COM_DAT,CST_S_CON_ADMIXTURE_TXT,e0b96ff1-0963-5e09-8a48-e514a0d99292,TEXT,Type,ADMIXTURETYPEUSED(IFANY),Mechanical Equipment,e0b96ff1-0963-5e09-8a48-e514a0d99292
COM_DAT,CST_S_CON_ADMIXTURE_TXT,e0b96ff1-0963-5e09-8a48-e514a0d99292,TEXT,Type,ADMIXTURETYPEUSED(IFANY),Plumbing Fixtures,e0b96ff1-0963-5e09-8a48-e514a0d99292
COM_DAT,CST_S_CON_ADMIXTURE_TXT,e0b96ff1-0963-5e09-8a48-e514a0d99292,TEXT,Type,ADMIXTURETYPEUSED(IFANY),Specialty Equipment,e0b96ff1-0963-5e09-8a48-e514a0d99292
COM_DAT,CST_S_CON_AGGREGATE_VOLUME_CU_M,426e88b6-548f-5c28-adb2-efec4fc47d7f,VOLUME,Type,AGGREGATEVOLUMEREQUIREDINCUBICMETERS,Casework,426e88b6-548f-5c28-adb2-efec4fc47d7f
