"Name","CreatedBy","CreatedOn","Category","Description","AssetType","Manufacturer","ModelNumber","WarrantyGuarantorParts","WarrantyDurationParts","WarrantyGuarantorLabor","WarrantyDurationLabor","WarrantyDurationUnit","ReplacementCost","ExpectedLife","DurationUnit","NominalLength","NominalWidth","NominalHeight","ModelReference","Shape","Size","Color","Finish","Grade","Material","Constituents","Features","AccessibilityPerformance","CodePerformance","SustainabilityPerformance"
"System Panel: Glazed","del","2026-03-20","Curtain Panels","","Fixed","","","","","","","","","","years","","","","Glazed","","","","","","","","","","",""
"Empty System Panel: Empty","del","2026-03-20","Curtain Panels","","Fixed","","","","","","","","","","years","","","","Empty","","","","","","","","","","",""
"Rectangular Mullion: 65 x 125mm rectangular","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","65 x 125mm rectangular","","","","","","","","","","",""
"Circular Mullion: 50mm Radius","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","50mm Radius","","","","","","","","","","",""
"Rectangular Mullion: 40 x 62mm rectangular","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","40 x 62mm rectangular","","","","","","","","","","",""
"Rectangular Mullion: 25mm Square","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","25mm Square","","","","","","","","","","",""
"L Corner Mullion: 125 x 125mm Corner","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","125 x 125mm Corner","","","","","","","","","","",""
"V Corner Mullion: 125mm V Corner","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","125mm V Corner","","","","","","","","","","",""
"Trapezoid Corner Mullion: 125mm Trapezoid","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","125mm Trapezoid","","","","","","","","","","",""
"Quad Corner Mullion: 125 x 125mm Quad Corner","del","2026-03-20","Curtain Wall Mullions","","Fixed","","","","","","","","","","years","","","","125 x 125mm Quad Corner","","","","","","","","","","",""
"System Panel: Solid","del","2026-03-20","Curtain Panels","","Fixed","","","","","","","","","","years","","","","Solid","","","","","","","","","","",""
"System Panel: Wall","del","2026-03-20","Curtain Panels","","Fixed","","","","","","","","","","years","","","","Wall","","","","","","","","","","",""
"Grab Bar: Grab Bar","del","2026-03-20","Specialty Equipment","","Moveable","","","","","","","","","","years","","","","Grab Bar","","","","","","","","","","",""
"M_GM_OpeningWall_Instance: Opening","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","Opening","","","","","","","","","","",""
"M_SC_Reference Column: M_SC_Reference Column","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","M_SC_Reference Column","","","","","","","","","","",""
"M_SF_Reference Beam: M_SF_Reference Beam","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","","","M_SF_Reference Beam","","","","","","","","","","",""
"M_Tee - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Cross - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Elbow - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Cap - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Bend - PVC - Sch 40 - DWV: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Coupling - PVC - Sch 40 - DWV: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Plug - PVC - Sch 40 - DWV: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Tee Sanitary - PVC - Sch 40 - DWV: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Coupling - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Transition - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Reducer - PVC - Sch 40 - DWV: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Round Union: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Oval Cross - Straight: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Oval Elbow - Gored: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Oval Elbow - Mitered: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Oval Endcap: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Oval Tap - Straight: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Oval Tee - Straight: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Oval to Round Transition - Length: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Oval Transition - Length: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Oval Union: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Rectangular Cross: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Rectangular Elbow - Mitered: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Rectangular Elbow - Radius: 1.5 W","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","1.5 W","","","","","","","","","","",""
"M_Rectangular Endcap: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Rectangular Takeoff: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Rectangular Tee: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Rectangular to Oval Transition - Length: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Rectangular to Round Transition - Angle: 45 Degree","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","45 Degree","","","","","","","","","","",""
"M_Rectangular Transition - Angle: 45 Degree","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","45 Degree","","","","","","","","","","",""
"M_Rectangular Union: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Round Cross: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Round Elbow: 1.5 D","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","1.5 D","","","","","","","","","","",""
"M_Round Elbow: 1 D","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","1 D","","","","","","","","","","",""
"M_Round Endcap: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Round Takeoff: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Round Tee: Standard","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Round Transition - Angle: 45 Degree","del","2026-03-20","Duct Fittings","","Fixed","","","","","","","","","","years","","","","45 Degree","","","","","","","","","","",""
"M_Cap - Welded - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Tee - Welded - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Cross - Welded - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Elbow - Welded - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Transition - Welded - Generic: Standard","del","2026-03-20","Pipe Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Coupling - PVC: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Coupling - Steel: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Elbow - Aluminum: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Elbow - Steel: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Elbow - Plain End - PVC: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Elbow - without Fittings - EMT: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Elbow - without Fittings - RMC: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Elbow - without Fittings - RNC: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Junction Box - Cross - Aluminum: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Junction Box - Cross - PVC: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Junction Box - Tee - Aluminum: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Junction Box - Tee - PVC: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Junction Box - Transition - Aluminum: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Junction Box - Transition - PVC: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Conduit Coupling - Aluminum: Standard","del","2026-03-20","Conduit Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Channel Horizontal Bend: Standard","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Channel Horizontal Cross: 300mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","300mm Radius","","","","","","","","","","",""
"M_Channel Horizontal Tee: 300mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","300mm Radius","","","","","","","","","","",""
"M_Channel Reducer: Standard","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Channel Union: Standard","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Channel Vertical Inside Bend: Standard","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Channel Vertical Outside Bend: Standard","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Ladder Horizontal Bend: Standard","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Ladder Horizontal Cross: 300mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","300mm Radius","","","","","","","","","","",""
"M_Ladder Horizontal Tee: 300mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","300mm Radius","","","","","","","","","","",""
"M_Ladder Reducer: Standard","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Ladder Union: Standard","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Ladder Vertical Inside Bend: Standard","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Ladder Vertical Outside Bend: Standard","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Exhaust Grill: 600 x 600 Face 300 x 300 Connection","del","2026-03-20","Air Terminals","","Fixed","","","","","","","","","","years","","","","600 x 600 Face 300 x 300 Connection","","","","","","","","","","",""
"M_Return Diffuser: 600 x 600 Face 300 x 300 Connection","del","2026-03-20","Air Terminals","","Fixed","","","","","","","","","","years","","","","600 x 600 Face 300 x 300 Connection","","","","","","","","","","",""
"M_Supply Diffuser: 600 x 600 Face 300 x 300 Connection","del","2026-03-20","Air Terminals","","Fixed","","","","","","","","","","years","","","","600 x 600 Face 300 x 300 Connection","","","","","","","","","","",""
"M_Supply Grille - Single Deflection - Curve Face Rectangular Neck: 210x60 Connection 250 Diameter Duct","del","2026-03-20","Air Terminals","","Fixed","","","","","","","","","","years","225","75","4","210x60 Connection 250 Diameter Duct","","","","","","","","","","",""
"M_Supply Grille - Single Deflection - Curve Face Rectangular Neck: 310x110 Connection 600 Diameter Duct","del","2026-03-20","Air Terminals","","Fixed","","","","","","","","","","years","325","125","5","310x110 Connection 600 Diameter Duct","","","","","","","","","","",""
"M_Supply Grille - Single Deflection - Curve Face Rectangular Neck: 410x210 Connection 1000 Diameter Duct","del","2026-03-20","Air Terminals","","Fixed","","","","","","","","","","years","425","225","11","410x210 Connection 1000 Diameter Duct","","","","","","","","","","",""
"M_Supply Grille - Single Deflection - Rectangular Face Rectangular Neck: 210x60","del","2026-03-20","Air Terminals","","Fixed","","","","","","","","","","years","225","75","","210x60","","","","","","","","","","",""
"M_Supply Grille - Single Deflection - Rectangular Face Rectangular Neck: 310x110","del","2026-03-20","Air Terminals","","Fixed","","","","","","","","","","years","325","125","","310x110","","","","","","","","","","",""
"M_Supply Grille - Single Deflection - Rectangular Face Rectangular Neck: 410x210","del","2026-03-20","Air Terminals","","Fixed","","","","","","","","","","years","425","225","","410x210","","","","","","","","","","",""
"M_Air Handling Unit - Split System - Vertical: 03","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","03","","","","","","","","","","",""
"M_Air Handling Unit - Split System - Vertical: 05","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","05","","","","","","","","","","",""
"M_Air Handling Unit - Split System - Vertical: 07","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","07","","","","","","","","","","",""
"M_Air Handling Unit - Split System - Vertical: 10","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","10","","","","","","","","","","",""
"M_Boiler: Standard","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Channel Horizontal Cross: 600mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","600mm Radius","","","","","","","","","","",""
"M_Channel Horizontal Cross: 900mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","900mm Radius","","","","","","","","","","",""
"M_Channel Horizontal Cross: 1200mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","1200mm Radius","","","","","","","","","","",""
"M_Channel Horizontal Tee: 600mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","600mm Radius","","","","","","","","","","",""
"M_Channel Horizontal Tee: 900mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","900mm Radius","","","","","","","","","","",""
"M_Channel Horizontal Tee: 1200mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","1200mm Radius","","","","","","","","","","",""
"M_Circular Handrail: 40mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","40mm","","","","","","","","","","",""
"M_Data Outlet: Plain","del","2026-03-20","Data Devices","","Fixed","","","","","","","","","","years","","","","Plain","","","","","","","","","","",""
"M_Dry Type Transformer - 480-208Y120 - NEMA Type 2: 15 kVA","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","","","15 kVA","","","","","","","","","","",""
"M_Dry Type Transformer - 480-208Y120 - NEMA Type 2: 45 kVA","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","","","45 kVA","","","","","","","","","","",""
"M_Dry Type Transformer - 480-208Y120 - NEMA Type 2: 30 kVA","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","","","30 kVA","","","","","","","","","","",""
"M_Dry Type Transformer - 480-208Y120 - NEMA Type 2: 75 kVA","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","","","75 kVA","","","","","","","","","","",""
"M_Dry Type Transformer - 480-208Y120 - NEMA Type 2: 112.5 kVA","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","","","112.5 kVA","","","","","","","","","","",""
"M_Dry Type Transformer - 480-208Y120 - NEMA Type 2: 150 kVA","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","","","150 kVA","","","","","","","","","","",""
"M_Dry Type Transformer - 480-208Y120 - NEMA Type 2: 225 kVA","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","","","225 kVA","","","","","","","","","","",""
"M_Dry Type Transformer - 480-208Y120 - NEMA Type 2: 300 kVA","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","","","300 kVA","","","","","","","","","","",""
"M_Dry Type Transformer - 480-208Y120 - NEMA Type 2: 500 kVA","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","","","500 kVA","","","","","","","","","","",""
"M_Dry Type Transformer - 480-208Y120 - NEMA Type 2: 750 kVA","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","","","750 kVA","","","","","","","","","","",""
"M_Duplex Receptacle: GFCI","del","2026-03-20","Electrical Fixtures","","Fixed","","","","","","","","","","years","","","","GFCI","","","","","","","","","","",""
"M_Duplex Receptacle: Standard","del","2026-03-20","Electrical Fixtures","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Ethernet Switch: Standard","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","432","45","Standard","","","","","","","","","","",""
"M_Expansion Tank - Inline: 8 L","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","8 L","","","","","","","","","","",""
"M_Expansion Tank - Inline: 17 L","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","17 L","","","","","","","","","","",""
"M_Expansion Tank - Inline: 29 L","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","29 L","","","","","","","","","","",""
"M_Expansion Tank - Inline: 39 L","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","39 L","","","","","","","","","","",""
"M_Expansion Tank - Inline: 53 L","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","53 L","","","","","","","","","","",""
"M_Fascia-Flat: 19 x 235mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","235","19 x 235mm","","","","","","","","","","",""
"M_Fire Damper - Rectangular - Simple: Standard","del","2026-03-20","Duct Accessories","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Floor Drain - Round: 125 mm Strainer - 50 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","125 mm Strainer - 50 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 125 mm Strainer - 80 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","125 mm Strainer - 80 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 125 mm Strainer - 100 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","125 mm Strainer - 100 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 150 mm Strainer - 50 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","150 mm Strainer - 50 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 200 mm Strainer - 50 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","200 mm Strainer - 50 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 150 mm Strainer - 80 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","150 mm Strainer - 80 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 200 mm Strainer - 80 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","200 mm Strainer - 80 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 150 mm Strainer - 100 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","150 mm Strainer - 100 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 200 mm Strainer - 100 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","200 mm Strainer - 100 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 180 mm Strainer - 50 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","180 mm Strainer - 50 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 250 mm Strainer - 50 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","250 mm Strainer - 50 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 180 mm Strainer - 80 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","180 mm Strainer - 80 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 250 mm Strainer - 80 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","250 mm Strainer - 80 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 250 mm Strainer - 100 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","250 mm Strainer - 100 mm Drain","","","","","","","","","","",""
"M_Floor Drain - Round: 180 mm Strainer - 100 mm Drain","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","180 mm Strainer - 100 mm Drain","","","","","","","","","","",""
"M_Gutter - Bevel: 125 x 125mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","125","125 x 125mm","","","","","","","","","","",""
"M_Inline Pump - Circulator: 3.9 LPS - 0.8 Meter Head","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","3.9 LPS - 0.8 Meter Head","","","","","","","","","","",""
"M_Inline Pump - Circulator: 4.6 LPS - 2.9 Meter Head","del","2026-03-20","Mechanical Equipment","","Fixed","","","","","","","","","","years","","","","4.6 LPS - 2.9 Meter Head","","","","","","","","","","",""
"M_Ladder Horizontal Cross: 600mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","600mm Radius","","","","","","","","","","",""
"M_Ladder Horizontal Cross: 900mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","900mm Radius","","","","","","","","","","",""
"M_Ladder Horizontal Tee: 600mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","600mm Radius","","","","","","","","","","",""
"M_Ladder Horizontal Tee: 900mm Radius","del","2026-03-20","Cable Tray Fittings","","Fixed","","","","","","","","","","years","","","","900mm Radius","","","","","","","","","","",""
"M_Lighting and Appliance Panelboard - 208V MLO: 100 A","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","508","","100 A","","","","","","","","","","",""
"M_Lighting and Appliance Panelboard - 208V MLO: 225 A","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","508","","225 A","","","","","","","","","","",""
"M_Lighting and Appliance Panelboard - 208V MLO: 400 A","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","508","","400 A","","","","","","","","","","",""
"M_Lighting and Appliance Panelboard - 208V MLO: 600 A","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","508","","600 A","","","","","","","","","","",""
"M_Lighting and Appliance Panelboard - 480V MLO: 125 A","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","508","","125 A","","","","","","","","","","",""
"M_Lighting and Appliance Panelboard - 480V MLO: 250 A","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","508","","250 A","","","","","","","","","","",""
"M_Lighting and Appliance Panelboard - 480V MLO: 400 A","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","508","","400 A","","","","","","","","","","",""
"M_Lighting and Appliance Panelboard - 480V MLO: 600 A","del","2026-03-20","Electrical Equipment","","Fixed","","","","","","","","","","years","","508","","600 A","","","","","","","","","","",""
"M_Lighting Switches: Three Way","del","2026-03-20","Lighting Devices","","Fixed","","","","","","","","","","years","","","","Three Way","","","","","","","","","","",""
"M_Lighting Switches: Single Pole","del","2026-03-20","Lighting Devices","","Fixed","","","","","","","","","","years","","","","Single Pole","","","","","","","","","","",""
"M_Lighting Switches: Four Way","del","2026-03-20","Lighting Devices","","Fixed","","","","","","","","","","years","","","","Four Way","","","","","","","","","","",""
"M_Lighting Switches: Circuit Breaker","del","2026-03-20","Lighting Devices","","Fixed","","","","","","","","","","years","","","","Circuit Breaker","","","","","","","","","","",""
"M_Lighting Switches: Dimmer","del","2026-03-20","Lighting Devices","","Fixed","","","","","","","","","","years","","","","Dimmer","","","","","","","","","","",""
"M_Lighting Switches: Door","del","2026-03-20","Lighting Devices","","Fixed","","","","","","","","","","years","","","","Door","","","","","","","","","","",""
"M_Lighting Switches: Key Operated","del","2026-03-20","Lighting Devices","","Fixed","","","","","","","","","","years","","","","Key Operated","","","","","","","","","","",""
"M_Lighting Switches: Pilot Lighted","del","2026-03-20","Lighting Devices","","Fixed","","","","","","","","","","years","","","","Pilot Lighted","","","","","","","","","","",""
"M_Lighting Switches: Low Voltage","del","2026-03-20","Lighting Devices","","Fixed","","","","","","","","","","years","","","","Low Voltage","","","","","","","","","","",""
"M_Lighting Switches: Timer","del","2026-03-20","Lighting Devices","","Fixed","","","","","","","","","","years","","","","Timer","","","","","","","","","","",""
