"Name","CreatedBy","CreatedOn","Category","Description","AssetType","Manufacturer","ModelNumber","WarrantyGuarantorParts","WarrantyDurationParts","WarrantyGuarantorLabor","WarrantyDurationLabor","WarrantyDurationUnit","ReplacementCost","ExpectedLife","DurationUnit","NominalLength","NominalWidth","NominalHeight","ModelReference","Shape","Size","Color","Finish","Grade","Material","Constituents","Features","AccessibilityPerformance","CodePerformance","SustainabilityPerformance"
"M_Trim-Window-Exterior-Flat: Picture Frame","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","Picture Frame","","","","","","","","","","",""
"M_Trim-Window-Interior-Flat: with Sill","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","with Sill","","","","","","","","","","",""
"M_Trim-Window-Interior-Flat: Picture Frame","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","Picture Frame","","","","","","","","","","",""
"M_Window-Casement-Double: 850 x 900mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","850","900","850 x 900mm","","","","","","","","","","",""
"M_Window-Casement-Double: 1050 x 1350mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","1050","1350","1050 x 1350mm","","","","","","","","","","",""
"M_Window-Casement-Double: 1200 x 1500mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","1200","1500","1200 x 1500mm","","","","","","","","","","",""
"M_Window-Casement-Double: 1400 x 1800mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","1400","1800","1400 x 1800mm","","","","","","","","","","",""
"M_Window-Double-Hung: 600 x 1100mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","600","1100","600 x 1100mm","","","","","","","","","","",""
"M_Window-Double-Hung: 650 x 1100mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","650","1100","650 x 1100mm","","","","","","","","","","",""
"M_Window-Double-Hung: 700 x 1200mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","700","1200","700 x 1200mm","","","","","","","","","","",""
"M_Window-Double-Hung: 750 x 1200mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","750","1200","750 x 1200mm","","","","","","","","","","",""
"M_Window-Fixed: 600 x 900mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","600","900","600 x 900mm","","","","","","","","","","",""
"M_Window-Fixed: 600 x 1500mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","600","1500","600 x 1500mm","","","","","","","","","","",""
"M_Window-Fixed: 750 x 900mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","750","900","750 x 900mm","","","","","","","","","","",""
"M_Window-Fixed: 750 x 1650mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","750","1650","750 x 1650mm","","","","","","","","","","",""
"M_Window-Fixed: 900 x 1200mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","900","1200","900 x 1200mm","","","","","","","","","","",""
"M_Window-Fixed: 900 x 1650mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","900","1650","900 x 1650mm","","","","","","","","","","",""
"M_Opening with Trim: 0915 x 1220mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","915","1220","0915 x 1220mm","","","","","","","","","","",""
"M_Opening with Trim: 0915 x 0610mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","915","610","0915 x 0610mm","","","","","","","","","","",""
"M_Opening with Trim: 0915 x 1830mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","915","1830","0915 x 1830mm","","","","","","","","","","",""
"M_Opening with Trim: 0610 x 1830mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","610","1830","0610 x 1830mm","","","","","","","","","","",""
"M_Opening with Trim: 0610 x 1220mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","610","1220","0610 x 1220mm","","","","","","","","","","",""
"M_Opening with Trim: 0610 x 0610mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","610","610","0610 x 0610mm","","","","","","","","","","",""
"M_Opening with Trim: 0406 x 0610mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","406","610","0406 x 0610mm","","","","","","","","","","",""
