# Parameter_Name,Categories(pipe)|<ALL>=universal
ASS_TAG_PREV_TXT,<ALL>
ASS_TAG_SCHEME_TXT,<ALL>
ASS_TERM_CAPPED_BOOL,<ALL>
ASS_TERM_REASON_TXT,<ALL>
ASS_TEST_PRESSURE_BAR,<ALL>
ASS_TIEIN_BY_TXT,<ALL>
ASS_TIEIN_CONNECTED_BOOL,<ALL>
ASS_TIEIN_ELEV_TXT,<ALL>
ASS_TIEIN_FLOW_DIR_TXT,<ALL>
ASS_TIEIN_IFC_REF_TXT,<ALL>
ASS_TIEIN_PHASE_TXT,<ALL>
ASS_TIEIN_REF_TXT,<ALL>
ASS_TIEIN_SIZE_TXT,<ALL>
ASS_TIEIN_STATUS_TXT,<ALL>
ASS_TIEIN_TAG_1_TXT,<ALL>
ASS_TOKEN_LOCK_TXT,<ALL>
ASS_TRACE_SEQ_NR,<ALL>
ASS_TRACE_SEQ_NR_DISP_TXT,<ALL>
ASS_TYPE_COMMENTS_TXT,<ALL>
ASS_TYPE_LOC_OVERRIDE_TXT,<ALL>
ASS_TYPE_MARK_TXT,<ALL>
ASS_TYPE_NAME_TXT,<ALL>
ASS_TYPE_ZONE_OVERRIDE_TXT,<ALL>
ASS_UNICLASS_2015_TXT,<ALL>
ASS_UNIFORMAT_DESC_TXT,<ALL>
ASS_UNIFORMAT_TXT,<ALL>
ASS_VAR_INSTRUCTION_DT,<ALL>
ASS_VAR_NO_TXT,<ALL>
ASS_VAR_VALUATION_NR,<ALL>
ASS_VAR_VALUATION_NR_DISP_TXT,<ALL>
ASS_VOLUME_COD_TXT,<ALL>
ASS_VOL_TXT,<ALL>
ASS_WARRANTY_DURATION_LABOR_YRS,<ALL>
ASS_WARRANTY_DURATION_PARTS_YRS,<ALL>
ASS_WARRANTY_DUR_UNIT_TXT,<ALL>
ASS_WARRANTY_LABOR_TXT,<ALL>
ASS_WARRANTY_PARTS_TXT,<ALL>
ASS_WARRANTY_TXT,<ALL>
ASS_WARR_DUR_LABOR_TXT,<ALL>
ASS_WARR_DUR_PARTS_TXT,<ALL>
ASS_WARR_DUR_UNIT_TXT,<ALL>
ASS_WARR_GUAR_LABOR_TXT,<ALL>
ASS_WARR_GUAR_PARTS_TXT,<ALL>
ASS_WEIGHT_KG,<ALL>
ASS_WEIGHT_KG_NR,<ALL>
ASS_WELD_COUNT_NR,<ALL>
ASS_WORKSET_TXT,<ALL>
ASS_ZONE_SOURCE_TXT,<ALL>
ASS_ZONE_TXT,<ALL>
ATEX_CLASSIFICATION_OK,Electrical Equipment|Electrical Fixtures|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Electrical Circuits
BI_BOTTOM_COLOR_TXT,Generic Models
BI_CREATED_DATE_TXT,Generic Models
BI_DIMENSIONS_TXT,Generic Models
BI_FILENAME_TXT,Generic Models
BI_FILE_LOCATION_TXT,Generic Models
BI_GRADIENT_TYPE_TXT,Generic Models
BI_STATUS_TXT,Generic Models
BI_TOP_COLOR_TXT,Generic Models
BI_USED_IN_TEMPLATES_TXT,Generic Models
BLD_EPC_CERT_TXT,<ALL>
BLD_EPC_CLASS_TXT,<ALL>
BLD_FIRE_CLASS_TXT,<ALL>
BLD_PLANNING_REF_TXT,<ALL>
BLD_SPRINKLERS_BOOL,<ALL>
BLD_STOREY_ABOVE_GROUND_BOOL,<ALL>
BLD_STOREY_IMPOSED_LOAD_NR,<ALL>
BLD_YEAR_BUILT_TXT,<ALL>
BLE_APP-BACKGROUND_PATTERN,Materials
BLE_APP-COLOR,Materials
BLE_APP-COMMENTS,Materials
BLE_APP-CUT-BG-COLOR,Materials
BLE_APP-CUT-BG-PATTERN,Materials
BLE_APP-CUT-FG-COLOR,Materials
BLE_APP-CUT-FG-PATTERN,Materials
BLE_APP-CUT_PATTERN,Materials
BLE_APP-DESCRIPTION,Materials
BLE_APP-IDENTITY-CLASS,Materials
BLE_APP-IMAGE,Materials
BLE_APP-PHYSICAL-ASSET,Materials
BLE_APP-REVIT-BASE-MATERIAL,Materials
BLE_APP-SHADING_RGB,Materials
BLE_APP-SHININESS,Materials
BLE_APP-SMOOTHNESS,Materials
BLE_APP-SURFACE-BG-COLOR,Materials
BLE_APP-SURFACE-BG-PATTERN,Materials
BLE_APP-SURFACE-FG-COLOR,Materials
BLE_APP-SURFACE-FG-PATTERN,Materials
BLE_APP-SURFACE_PATTERN,Materials
BLE_APP-THERMAL-ASSET,Materials
BLE_APP-TRANSPARENCY,Materials
BLE_BLOCK_SIZE_TXT,Walls|Floors|Ceilings|Roofs|Rooms
BLE_BRICK_BOND_TYPE_TXT,Walls|Floors|Ceilings|Roofs|Rooms
BLE_CASEWORK_ACCESSIBLE_BOOL,Casework
BLE_CASEWORK_COUNTERTOP_TXT,Casework
BLE_CASEWORK_FINISH_TXT,Casework
BLE_CASEWORK_HARDWARE_TXT,Casework
BLE_CASEWORK_MATERIAL_TXT,Casework
BLE_CASEWORK_MAT_TXT,Casework
BLE_CASEWORK_TYPE_TXT,Casework
BLE_CBL_TRAY_DEPTH_MM,Cable Trays|Cable Tray Fittings
BLE_CBL_TRAY_DEPTH_MM_DISP_TXT,Cable Trays|Cable Tray Fittings
BLE_CBL_TRAY_WIDTH_MM,Cable Trays|Cable Tray Fittings
BLE_CBL_TRAY_WIDTH_MM_DISP_TXT,Cable Trays|Cable Tray Fittings
BLE_CEILING_ACCESS_PNLS_INCLUDED_TXT,Ceilings
BLE_CEILING_ACOUSTIC_NRC_NR,Ceilings
BLE_CEILING_AREA_SQ_M,Ceilings
BLE_CEILING_FINISH_TXT,Ceilings
BLE_CEILING_FIN_TILE_QTY_NR,Ceilings
BLE_CEILING_GRID_SZ_MM,Ceilings
BLE_CEILING_GRID_TXT,Ceilings
BLE_CEILING_HEIGHT_MM,Ceilings
BLE_CEILING_LIGHT_REFLECTANCE_PCT,Ceilings
BLE_CEILING_MAT_TXT,Ceilings
BLE_CEILING_NOISE_REDUCTION_COEFFICIENT_NRC_NR,Ceilings
BLE_CEILING_PLENUM_HEIGHT_MM,Ceilings
BLE_CEILING_SYSTEM_TXT,Ceilings
BLE_CEILING_TILE_SIZE_TXT,Ceilings
BLE_CEILING_TYPE_CLASSIFICATION_TXT,Ceilings
BLE_CEIL_GRID_MM,Ceilings
BLE_COLUMN_SLENDERNESS,Columns|Structural Columns
BLE_CW_PANEL_SHGC,Walls|Curtain Panels|Curtain Wall Mullions
BLE_DOOR_ACOUSTIC_RATING_DB,Doors
BLE_DOOR_ACOUSTIC_STC_NR,Doors
BLE_DOOR_AREA_SQ_M,Doors
BLE_DOOR_CLOSER_REQUIRED_BOOL,Doors
BLE_DOOR_CLOSER_TXT,Doors
BLE_DOOR_FRAME_MAT_TXT,Doors
BLE_DOOR_FUNCTION_TXT,Doors
BLE_DOOR_GLAZING_BOOL,Doors
BLE_DOOR_GLAZING_TYPE_TXT,Doors
BLE_DOOR_HARDWARE_SPECIFICATION_TXT,Doors
BLE_DOOR_HEAD_HEIGHT_MM,Doors
BLE_DOOR_HEIGHT_MM,Doors
BLE_DOOR_MATERIAL_FINISH_TXT,Doors
BLE_DOOR_MAT_TXT,Doors
