# This is a Revit shared parameter file.
# Do not edit manually.
*META	VERSION	MINVERSION
META	2	1
*GROUP	ID	NAME
GROUP	1	ASS_MNG
GROUP	2	CST_PROC
GROUP	3	COM_DAT
GROUP	4	ELC_PWR
GROUP	5	HVC_SYSTEMS
GROUP	6	PLM_DRN
GROUP	7	LTG_CONTROLS
GROUP	8	FLS_LIFE_SFTY
GROUP	9	PER_SUST
GROUP	10	BLE_ELES
GROUP	11	TPL_TRACKING
GROUP	12	MAT_INFO
GROUP	13	PRJ_INFORMATION
GROUP	14	PROP_PHYSICAL
GROUP	15	RGL_CMPL
GROUP	16	BLE_STRUCTURE
GROUP	17	STINGTags_ISO19650
GROUP	18	WARN_THRESHOLDS
GROUP	19	SLV_SLEEVE_PARAMS
GROUP	20	CLASH_COORDINATION
GROUP	21	ACC_SYNC
GROUP	22	IFC_EXCH
GROUP	23	HEALTH_METRICS
GROUP	24	ASBUILT
GROUP	25	COMMISSIONING
GROUP	26	TBL_TITLEBLOCK
GROUP	27	STING_DRAWING
GROUP	28	CLN_CLINICAL
GROUP	29	MGS_SYSTEMS
GROUP	30	RAD_PROTECTION
GROUP	31	CEQ_CLINICAL
GROUP	32	LIG_BEHAVIOURAL
GROUP	33	Identity
GROUP	34	Routing
*PARAM	GUID	NAME	DATATYPE	DATACATEGORY	GROUP	VISIBLE	DESCRIPTION	USERMODIFIABLE
PARAM	4afc242e-1975-5d43-aa02-41338779d47a	BLE_FINISH_PLASTER_AREA_SQ_M	TEXT		2	1	Ble Finish Plaster Area Sq M [ISO 19650-1:2018]	0
PARAM	0d076f1e-8962-50e2-9a46-c950b1087444	BLE_FINISH_TILE_AREA_SQ_M	TEXT		2	1	Ble Finish Tile Area Sq M [ISO 19650-1:2018]	0
PARAM	c2802e8b-60cd-58d9-a1b5-6e92d1a61b33	BLE_FINISH_TILE_QUANTITY_NR	TEXT		2	1	Ble Finish Tile Quantity Nr [ISO 19650-1:2018]	0
PARAM	b3a80a61-ac59-5361-8560-0137487aaec3	BLE_FLR_FINISH_MAT_TXT	TEXT		2	1	Ble Flr Finish Mat Txt [ISO 19650-1:2018]	1
PARAM	0d0457b1-3847-5da5-87e9-ac88a720b1c8	BLE_FLR_FINISH_TXT	TEXT		2	1	Ble Flr Finish Txt [ISO 19650-1:2018]	1
PARAM	c9176e37-501e-5f2a-b4b4-0b66a37f88b5	BLE_FLR_LD_CAP_KPA	TEXT		2	1	Ble Flr Ld Cap Kpa [ISO 19650-1:2018]	1
PARAM	8587af48-41e4-551b-b127-47fbfba712da	BLE_FLR_SLIP_RESISTANCE_RATING_NR	TEXT		2	1	Ble Flr Slip Resistance Rating Nr [ISO 19650-1:2018]	1
PARAM	6fd7e2d6-1471-58dd-9226-6424a5ca3072	BLE_FLR_STRUCTURAL_SYSTEM_TXT	TEXT		2	1	Ble Flr Structural System Txt [ISO 19650-1:2018]	1
PARAM	4e849c26-5bfe-5ca2-bb5a-aa39e03e31bb	BLE_FLR_THICKNESS_MM	TEXT		2	1	Ble Flr Thickness Mm [ISO 19650-1:2018]	1
PARAM	f24d7043-d3ff-4e0b-a87f-80262eacfa89	BLE_FURNITURE_FINISH_TXT	TEXT		2	1	Furniture surface finish specification [ISO 19650-1:2018]	1
