# v2.3 | 20260227 | BIM Template mr_parameters
Revit_Category,Parameter_Name,Parameter_GUID,Data_Type,Group_Name,Binding_Type,Description,Has_Formula,Formula,Input_Parameters,Discipline,User_Modifiable,Hide_When_No_Value
Lighting Fixtures,ELC_PWR_KW,1090274a-74b8-5ac4-8eaf-4f36c4b6cb55,ELECTRICAL_POWER,ELC_PWR,Type,Elc Pwr Kw [ISO 19650-1:2018],False,,,ELECTRICAL,1,0
Electrical Equipment,ELC_SPARE_WAYS_NR,8ff6b7e5-8ec9-58ab-8d92-52d2f189afb6,NUMBER,ELC_PWR,Type,Elc Spare Ways Nr [ISO 19650-1:2018],False,,,ELECTRICAL,1,0
Electrical Equipment,ELC_VLT_DROP_PCT,cf27a6c4-4056-543b-876f-ca8747265b83,NUMBER,ELC_PWR,Type,Elc Vlt Drop Pct [ISO 19650-1:2018],True,(2 * ELC_CKT_LENGTH_M * ELC_CKT_CUR_A * 0.0175) / (ELC_CBL_COND_SZ_SQ_MM * ELC_CKT_VLT_V) * 100,"ELC_CKT_LENGTH_M, ELC_CKT_CUR_A, ELC_CBL_COND_SZ_SQ_MM, ELC_CKT_VLT_V",ELECTRICAL,0,0
Mechanical Equipment,HVC_CAP_KW,9990d504-d0ac-5537-80cd-a4eb66746e51,ELECTRICAL_POWER,HVC_SYSTEMS,Type,Hvc Cap Kw [ISO 19650-1:2018],True,ASS_ROOM_AREA_SQ_M * 0.1,ASS_ROOM_AREA_SQ_M,HVAC,0,0
Mechanical Equipment,HVC_CAP_TR,993c51e7-135c-56dc-8a81-7fc9aa045ea0,TEXT,HVC_SYSTEMS,Type,Hvc Cap Tr [ISO 19650-1:2018],False,,,HVAC,1,0
Mechanical Equipment,HVC_CONTROL_TYPE_TXT,34d15f62-cb02-5a6b-9cf1-825c6b98c08a,TEXT,HVC_SYSTEMS,Type,Hvc Control Type Txt [ISO 19650-1:2018],False,,,HVAC,1,0
Air Terminals,HVC_DCT_FLW_CFM,39e255ff-7a42-5d4f-954c-960347ab434e,NUMBER,HVC_SYSTEMS,Type,Hvc Dct Flw Cfm [ISO 19650-1:2018],True,HVC_DUCT_FLOWRATE_M3H * 0.5886,HVC_DUCT_FLOWRATE_M3H,HVAC,0,0
Ducts,HVC_DCT_MAT_TXT,99bb5c8a-e4b4-5f20-ba1c-ae7738effeb0,TEXT,HVC_SYSTEMS,Type,Hvc Dct Mat Txt [ISO 19650-1:2018],False,,,HVAC,1,0
Air Terminals,HVC_DCT_TERMINAL_SZ_TXT,081b8c41-91a0-552e-912a-6bd5b3404fc8,TEXT,HVC_SYSTEMS,Type,Hvc Dct Terminal Sz Txt [ISO 19650-1:2018],False,,,HVAC,1,0
Air Terminals,HVC_DCT_TERMINAL_TYPE_SD_RG_EG_VAV_TXT,6f7c7807-9c3e-5c4d-ba16-8a4f12d2f51b,TEXT,HVC_SYSTEMS,Type,Hvc Dct Terminal Type Sd Rg Eg Vav Txt [ISO 19650-1:2018],False,,,HVAC,1,0
Ducts,HVC_DUCT_AREA_SQ_M,4ca049cb-8e14-5c8d-bc00-7b5a3c3e9dbb,AREA,HVC_SYSTEMS,Type,Hvc Duct Area Sq M [ISO 19650-1:2018],True,(Width + Height) * 2 * Length / 1000000,"Width, Height, Length",HVAC,0,0
Ducts,HVC_DUCT_CLASS_TXT,a767df19-9d03-51fd-a59b-81dc2037dd94,TEXT,HVC_SYSTEMS,Type,Hvc Duct Class Txt [ISO 19650-1:2018],False,,,HVAC,1,0
Ducts,HVC_DUCT_FLOWRATE_M3H,4715ba3e-adf9-526d-b7d8-e8fa5d529097,VOLUME,HVC_SYSTEMS,Type,Hvc Duct Flowrate M3h [ISO 19650-1:2018],True,HVC_DUCT_AREA_SQ_M * HVC_VEL_MPS * 3600,"HVC_DUCT_AREA_SQ_M, HVC_VEL_MPS",HVAC,0,0
