# v2.3 | 20260227 | BIM Template mr_parameters
Revit_Category,Parameter_Name,Parameter_GUID,Data_Type,Group_Name,Binding_Type,Description,Has_Formula,Formula,Input_Parameters,Discipline,User_Modifiable,Hide_When_No_Value
Generic Models,PER_ACOUSTICS_IIC_RATING_TXT,ae6a8b0b-e535-55e8-bc0a-1c3753361546,TEXT,PER_SUST,Type,Per Acoustics Iic Rating Txt [ISO 19650-1:2018],False,,,REGULATORY,1,0
Generic Models,WS_OWNER_TXT,793f0a0c-df6f-4dc9-a18b-cee7c99dfebf,TEXT,TPL_TRACKING,Type,Workset owner [ISO 19650-2:2018],False,,,MULTI,1,0
Generic Models,OS_CUT_WEIGHT_INT,d59a560c-d6d0-4c47-ba3c-95d2867d8682,INTEGER,TPL_TRACKING,Type,Cut line weight [ISO 19650-1:2018],False,,,TEMPLATE_METADATA,1,0
Generic Models,ELC_CBL_DESTINATION_TO_TXT,8883920c-0f0e-536e-bef4-799801211488,TEXT,ELC_PWR,Type,Elc Cbl Destination To Txt [ISO 19650-1:2018],False,,,ELECTRICAL,1,0
Generic Models,DS_TEXT_FONT_TXT,8a55440d-e288-4c5f-9f5f-c2fcadf3a0af,TEXT,TPL_TRACKING,Type,Text font [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,MAT_TAG_2_TXT,0d78850d-45b1-4179-9079-3e3ec525a4ef,TEXT,MAT_INFO,Instance,"Material specification tag: name, thickness, standard [ISO 19650-1:2018]",False,,,ARCHITECTURAL,1,0
Generic Models,PLM_VNT_SZ_NR,b27f8b0d-cd76-54bb-bb37-c97c7580e79d,NUMBER,PLM_DRN,Type,Plm Vnt Sz Nr [ISO 19650-1:2018],True,PLM_PPE_SZ_MM * 0.5,PLM_PPE_SZ_MM,PLUMBING,0,0
Generic Models,PRJ_INFORMATION_SPARE_02_TXT,b4e2d00d-a873-4fa9-bdc4-3d57fe742671,TEXT,PRJ_INFORMATION,Type,Spare parameter 2 for PRJ_INFORMATION group,False,,,MULTI,1,0
Generic Models,MAT_SPECIFICATIONS,0efc1f0f-a86a-5088-9305-8839f35d8acc,TEXT,MAT_INFO,Instance,Mat Specifications [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,ASS_ZONE_TXT,dc0d940f-e4ce-5e73-a0a7-fc7094148c84,TEXT,ASS_MNG,Type,Ass Zone Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Generic Models,BLE_WALL_TYPE_CLASSIFICATION_TXT,123bc70f-d9f7-5d1e-818b-aea8222786fa,TEXT,CST_PROC,Type,Ble Wall Type Classification Txt [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,PER_THERM_R_VALUE_M2K_W,b1c30510-64ad-5de7-a201-043bddb89459,NUMBER,PER_SUST,Type,Per Therm R Value M2k W [ISO 19650-1:2018],True,1 / BLE_WALL_THERMAL_TRANSMITTANCE_U_VALUE_W_M_2K_NR,BLE_WALL_THERMAL_TRANSMITTANCE_U_VALUE_W_M_2K_NR,SUSTAINABILITY,0,1
Generic Models,PLM_DRN_PPE_SLOPE_PCT,57074b10-28fd-5cea-93ca-da43df5b630d,NUMBER,PLM_DRN,Type,Plm Drn Ppe Slope Pct [ISO 19650-1:2018],False,,,PLUMBING,1,0
Generic Models,MAT_PROP_DICT_GUID_TXT,8d8d9310-7d16-4e70-bf7e-3f328816a223,TEXT,MAT_INFO,Instance,ISO 23386 property dictionary GUID (PA001) for material data interoperability [ISO 23386:2020],False,,,ARCHITECTURAL,1,0
Generic Models,LTG_FIX_TYPE_CLASSIFICATION_TXT,47f4f210-92f6-5ce9-b386-ba8a907d0ab8,TEXT,LTG_CONTROLS,Type,Ltg Fix Type Classification Txt [ISO 19650-1:2018],False,,,ELECTRICAL,1,0
Generic Models,MAT_STANDARD,f7b7a311-f04b-5859-998e-e88295f4badc,TEXT,MAT_INFO,Instance,Mat Standard [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,BI_CREATED_DATE_TXT,e7951912-7eb2-426f-b4f2-c26864866a82,TEXT,TPL_TRACKING,Type,Date image created [ISO 19650-2:2018],False,,,MULTI,1,0
Generic Models,CST_CALC_AREA_M2,a4c93912-d9c4-4a58-a49a-3962fa5a4694,AREA,COM_DAT,Type,Calculated area in square meters [ISO 19650-3:2020],True,BLE_ELE_AREA_SQ_M,BLE_ELE_AREA_SQ_M,COSTING,0,1
Generic Models,MA_ELEMENT_NAME_TXT,d1914312-2ffb-403e-9e54-bc02917e42cd,TEXT,TPL_TRACKING,Type,Element name [ISO 19650-2:2018],False,,,MULTI,1,0
Generic Models,CST_S_EAR_EXCAVATION_VOLUME_CU_M,49dcb512-bf7f-5d0c-8ac2-e0baf2829ce6,VOLUME,COM_DAT,Type,Cst S Ear Excavation Volume Cu M [ISO 19650-2:2018],True,CST_S_EAR_EXCAVATION_DEPTH_M * BLE_ELE_AREA_SQ_M,"CST_S_EAR_EXCAVATION_DEPTH_M, BLE_ELE_AREA_SQ_M",CONSTRUCTION,0,0
Generic Models,BLE_FINISH_PLASTER_RATIO_NR,3263ef12-65eb-523c-b707-50b6f8673809,NUMBER,CST_PROC,Type,Ble Finish Plaster Ratio Nr [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,CST_TOTAL_STEEL_COST,1d8c4113-6684-4d8a-8f1b-84c0caa1c80e,CURRENCY,COM_DAT,Type,Total steel cost in UGX [ISO 19650-3:2020],True,CST_S_REI_WEIGHT_WASTAGE_KG * CST_UNIT_PRICE_STEEL_UGX,"CST_S_REI_WEIGHT_WASTAGE_KG, CST_UNIT_PRICE_STEEL_UGX",COSTING,0,1
Generic Models,OS_SUBCATEGORY_TXT,27055713-2c19-463d-875e-bf35a5c6183e,TEXT,TPL_TRACKING,Type,Object style subcategory [ISO 19650-1:2018],False,,,TEMPLATE_METADATA,1,0
Generic Models,PER_ENVIRONMENTAL_CLIMATE_ZONE_TXT,cdebb813-1f4a-5287-a398-e74125618e59,TEXT,PER_SUST,Type,Per Environmental Climate Zone Txt [ISO 19650-1:2018],False,,,REGULATORY,1,0
Generic Models,PRJ_NAME_TXT,37bbd113-ad51-5cb5-9c35-52b01dd4a56b,TEXT,PRJ_INFORMATION,Type,Prj Name Txt [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,PER_THERM_NATURAL_VENT_TXT,1314dc13-7452-5f47-96f8-4d21c9aac9ab,TEXT,PER_SUST,Type,Per Therm Natural Vent Txt [ISO 19650-1:2018],False,,,REGULATORY,1,0
Generic Models,PROP_PHYSICAL_SPARE_01_TXT,a8a02414-4d93-4cbc-b256-8f242fe61fc8,TEXT,PROP_PHYSICAL,Type,Spare parameter 1 for PROP_PHYSICAL group,False,,,ARCHITECTURAL,1,0
Generic Models,TPL_TRACKING_SPARE_01_TXT,71383214-27c6-45bd-a0e1-017efb6fb1c7,TEXT,TPL_TRACKING,Type,Spare parameter 1 for TPL_TRACKING group,False,,,MULTI,1,0
Generic Models,BI_DIMENSIONS_TXT,85e95414-1461-435f-880e-32392d310aa2,TEXT,TPL_TRACKING,Type,Image dimensions [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,ELC_PNL_CKT_SOURCE_NAME_03_TXT,b5da8314-11c4-4b6d-aa38-eeae56c9f9b8,TEXT,ELC_PWR,Type,Elc Pnl tag,False,,,ELECTRICAL,1,0
Generic Models,RGL_KCCA_APPROVAL_REQ_BOOL,71628414-da7f-5bc2-bf30-2adb501283aa,YESNO,RGL_CMPL,Type,Rgl Kcca Approval Req Bool [ISO 19650-1:2018],False,,,REGULATORY,1,0
Generic Models,CST_S_CON_GRADE_TXT,9406b214-102a-589e-87f8-c9ebb6a3c6e6,TEXT,COM_DAT,Type,Cst S Con Grade Txt [ISO 19650-2:2018],False,,,COSTING,1,0
Generic Models,ASS_NUMBER_OF_DAT_OUTLETS_INT,a9b92515-9881-5af2-85cd-41329358b0e3,INTEGER,ASS_MNG,Type,Ass Number Of Dat Outlets Int [ISO 19650-3:2020],False,,,MULTI,1,0
Generic Models,MAT_FEATURES,65fa7015-14b5-50c7-b339-9ea8d49645b5,TEXT,MAT_INFO,Instance,Mat Features [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,CST_TOTAL_TILE_COST,b606df15-39b5-4d06-a337-23b0a94506f9,CURRENCY,COM_DAT,Type,Total tiles cost in UGX [ISO 19650-3:2020],True,CST_CALC_TILE_M2 * CST_UNIT_PRICE_TILE_UGX,"CST_CALC_TILE_M2, CST_UNIT_PRICE_TILE_UGX",COSTING,0,1
Generic Models,ASS_PMT_CST_MAT_CST_UGX_NR,f0cbf815-b0d0-5e8a-ad43-15631cc0e622,CURRENCY,ASS_MNG,Type,Ass Pmt Cst Mat Cst Ugx Nr [ISO 19650-3:2020],False,,,MULTI,1,0
Generic Models,PER_SUST_ENERGY_RATING_TXT,c7f29916-b823-5704-93e6-d46673e7b95c,TEXT,PER_SUST,Type,Per Sust Energy Rating Txt [ISO 19650-1:2018],False,,,REGULATORY,1,0
Generic Models,LTG_CLR_RENDERING_INDEX_NR,43980f17-492a-5b6d-99cb-525e58f769cf,NUMBER,LTG_CONTROLS,Type,Ltg Clr Rendering Index Nr [ISO 19650-1:2018],False,,,ELECTRICAL,1,0
Generic Models,PLM_STR_BODY_MAT_TXT,a44f3317-8596-584b-a3ac-af11fe00b9d3,TEXT,PLM_DRN,Type,Plm Str Body Mat Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Generic Models,VT_LAST_MODIFIED_TXT,5ddaca17-fca1-4139-864e-625b18da5607,TEXT,TPL_TRACKING,Type,Last modification date [ISO 19650-2:2018],False,,,TEMPLATE_METADATA,1,0
Generic Models,BLE_STAIR_GOING_MM,3cb19d18-6500-5dc5-b461-d03a276b645f,LENGTH,CST_PROC,Type,Ble Stair Going Mm [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,MAT_COST_USD,2dc13319-9225-58b5-9904-d9dc5455dcb0,CURRENCY,MAT_INFO,Instance,Mat Cost Usd [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,OS_CATEGORY_TXT,23866d19-46aa-4aa1-b971-c799b11f2e54,TEXT,TPL_TRACKING,Type,Object style category [ISO 19650-1:2018],False,,,TEMPLATE_METADATA,1,0
Generic Models,FIN_FLR_TAG_TXT,a2b19e19-d4ad-44b4-97d4-8e80dc981228,TEXT,BLE_ELES,Type,"Floor finish schedule tag: finish, thickness, slip resistance, material [ISO 19650-1:2018]",False,,,ARCHITECTURAL,1,0
Generic Models,PLM_DRN_FITTING_INLET_COUNT_NR,40b3a419-f8e1-5dd8-84ea-268e43f59a88,INTEGER,PLM_DRN,Type,Plm Drn Fitting Inlet Count Nr [ISO 19650-1:2018],False,,,PLUMBING,1,0
Generic Models,TS_FONT_SIZE_NR,67f44a1a-3864-4d00-b8cf-8b2380ebb8ef,NUMBER,TPL_TRACKING,Type,Font size in mm [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,ELC_PNL_CKT_SOURCE_NAME_TXT,3efc7b1a-5be1-533b-af3e-99cbd8c04af5,TEXT,ELC_PWR,Type,Elc Pnl Ckt Source Name Txt [ISO 19650-1:2018],False,,,ELECTRICAL,1,0
Generic Models,PLM_DRN_PPE_LENGTH_M,ceb5c41a-60ee-57f5-a2c0-fea148f0862d,LENGTH,PLM_DRN,Type,Plm Drn Ppe Length M [ISO 19650-1:2018],False,,,PLUMBING,1,0
Generic Models,VT_SILHOUETTES_BOOL,7866511b-90b5-421a-80e7-2b6dd258c608,YESNO,TPL_TRACKING,Type,Silhouettes enabled [ISO 19650-1:2018],False,,,TEMPLATE_METADATA,1,0
Generic Models,BLE_MAT_L1_THK_MM,c687911b-13b2-54c6-be89-3db4e44282ff,LENGTH,CST_PROC,Instance,Ble Mat L1 Thk Mm [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,PROP_TENS_STRENGTH_MPA,1545e81b-0197-59e2-a346-ae418f64b5ad,NUMBER,PROP_PHYSICAL,Instance,Prop Tens Strength Mpa [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,BLE_STAIR_HANDRAIL_HEIGHT_MM,1ef12b1c-c3f9-57ba-a454-212d5b5f8c0b,LENGTH,CST_PROC,Type,Ble Stair Handrail Height Mm [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,PROP_COMP_STRENGTH_MPA,e185941c-6778-5b9f-97ea-3f1d4bd74b9a,NUMBER,PROP_PHYSICAL,Instance,Prop Comp Strength Mpa [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,MA_LAST_REVIEWED_DATE_TXT,8185981c-381d-4d8d-97e6-ac882be9b2fc,TEXT,TPL_TRACKING,Type,Last review date [ISO 19650-2:2018],False,,,MULTI,1,0
Generic Models,ASS_OANDM_MANUALS_PROVIDED_TXT,04a5a31c-d4e2-59fc-a4f8-8a6b15ec895f,TEXT,ASS_MNG,Type,Ass Oandm Manuals Provided Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Generic Models,RGL_ACCESS_BRAILLE_SIGNAGE_BOOL,e9b7f81c-81f4-5574-a901-81afceb33824,YESNO,RGL_CMPL,Type,Rgl Access Braille Signage Bool [ISO 19650-1:2018],False,,,REGULATORY,1,0
Generic Models,ELC_PWR_SPARE_01_TXT,3049bb1d-3318-4c79-87c1-5d6b560df920,TEXT,ELC_PWR,Type,Spare parameter 1 for ELC_PWR group,False,,,ELECTRICAL,1,0
Generic Models,CST_DELIVERY_LEAD_TIME_DAYS,14a0101f-30e0-5d37-b3b2-f64ff5a5cfb5,NUMBER,COM_DAT,Type,Cst Delivery Lead Time Days [ISO 19650-2:2018],False,,,COSTING,1,0
Generic Models,BLE_APP-SURFACE-FG-COLOR,2b68bc1f-e624-5749-9cdc-c04057f03bed,TEXT,CST_PROC,Instance,Ble App-surface-fg-color [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,MAT_LAYER_COUNT,e181d31f-030c-5caf-8486-85070edf4eaf,INTEGER,MAT_INFO,Instance,Mat Layer Count [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,MAT_THICKNESS_INCH,77700220-09d7-5b22-b67c-282123db6b2d,LENGTH,MAT_INFO,Instance,Mat Thickness Inch [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,COM_C_MEASUREMENT_RANGE_TXT,03350a20-2839-57c9-944d-3a16489eb2ec,TEXT,COM_DAT,Type,Com C Measurement Range Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Generic Models,ELC_PWR_CIR_LOAD_TYPE_TXT,2c471520-95f9-5dd1-a2d8-6c0f806dbb7f,TEXT,ELC_PWR,Type,Elc Pwr Cir Load Type Txt [ISO 19650-1:2018],False,,,ELECTRICAL,1,0
Generic Models,MAT_LAYER_3_MATERIAL,20281f20-2ca0-549c-8720-4426956630fc,TEXT,MAT_INFO,Instance,Mat Layer 3 Material [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,BLE_MAT_MANUFACTURER_TXT,4558d620-d027-570c-8aa9-d098e11fdba5,TEXT,CST_PROC,Instance,Ble Mat Manufacturer Txt [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,PLM_DRN_TRAP_TYPE_TXT,f3047521-82db-5ab3-aeb9-517696913fa5,TEXT,PLM_DRN,Type,Plm Drn Trap Type Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Generic Models,CST_S_MAS_CEMENT_BAGS_NR,64a7b021-378e-5b41-9cd8-46e3f9bf9849,NUMBER,COM_DAT,Type,Cst S Mas Cement Bags Nr [ISO 19650-2:2018],True,CST_S_MAS_MORTAR_VOLUME_CU_M * 6 * 1440 / 50,CST_S_MAS_MORTAR_VOLUME_CU_M,CONSTRUCTION,0,0
Generic Models,BLE_STAIR_TYPE_TXT,c15cc821-78dc-51b7-b237-0d5ee6e7c2fe,TEXT,CST_PROC,Type,Ble Stair Type Txt [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,ELC_CBL_NUM_OF_CORES_NR,3d9ae221-0383-5071-b9fc-52fe92e9088d,NUMBER,ELC_PWR,Type,Elc Cbl Num Of Cores Nr [ISO 19650-1:2018],False,,,ELECTRICAL,1,0
Generic Models,PER_THERM_THERMAL_MASS_KJ_M2K_KJ,e5fa3923-e154-57a2-bd70-d03b876120d5,NUMBER,PER_SUST,Type,Per Therm Thermal Mass Kj M2k Kj [ISO 19650-1:2018],True,CST_S_CON_VOLUME_CU_M * 2400 * 0.88 / BLE_ELE_AREA_SQ_M,"CST_S_CON_VOLUME_CU_M, BLE_ELE_AREA_SQ_M",SUSTAINABILITY,0,1
Generic Models,ELC_PWR_SPARE_02_TXT,69bff624-c1bc-49bf-b190-b4b69fbe699e,TEXT,ELC_PWR,Type,Spare parameter 2 for ELC_PWR group,False,,,ELECTRICAL,1,0
Generic Models,VT_STATUS_TXT,a2027425-145d-4349-9ff8-318c5e4c9d4e,TEXT,TPL_TRACKING,Type,Template status [ISO 19650-2:2018],False,,,TEMPLATE_METADATA,1,0
Generic Models,BI_USED_IN_TEMPLATES_TXT,40857b25-babc-43f5-b653-40e73d484f53,TEXT,TPL_TRACKING,Type,Templates using this image [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,SPARE_PARAM_03_TXT,24dd4826-4f02-4cb8-83d1-815fffd0aa0b,TEXT,TPL_TRACKING,Type,Spare parameter 03 for future use [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,BLE_MAT_SPEC_TXT,a8eabb26-7fad-5069-9a75-0b7e0e7f4d92,TEXT,CST_PROC,Instance,Ble Mat Spec Txt [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,LS_WEIGHT_INT,5097c327-3074-4376-80de-4a755208f76a,INTEGER,TPL_TRACKING,Type,Line weight number [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,PER_ENVIRONMENTAL_HUMIDITY_DESIGN_PCT,871d9c28-ed37-5d81-991d-9e7c1c91623f,NUMBER,PER_SUST,Type,Per Environmental Humidity Design Pct [ISO 19650-1:2018],False,,,REGULATORY,1,0
Generic Models,PRJ_TB_DATE_APVD_TXT,037ae428-4007-53eb-93b8-bc37c82fed37,TEXT,PRJ_INFORMATION,Type,Prj Tb Date Apvd Txt [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,FLT_CUT_PATTERN_TXT,5ed62329-35bb-4043-869a-0a6d50e91b41,TEXT,TPL_TRACKING,Type,Override cut pattern [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,MA_PRIORITY_TXT,55b66c29-7946-4a91-9f2c-fecb2e944447,TEXT,TPL_TRACKING,Type,Priority level [ISO 19650-2:2018],False,,,MULTI,1,0
Generic Models,RGL_CMPL_SPARE_01_TXT,4982cb29-ea74-4497-bc4f-3d4ebbcc7840,TEXT,RGL_CMPL,Type,Spare parameter 1 for RGL_CMPL group,False,,,REGULATORY,1,1
Generic Models,BLE_FINISH_TYPE_TXT,6a27052a-a488-5eaf-bb20-427b56ae8d28,TEXT,CST_PROC,Type,Ble Finish Type Txt [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,PER_ACOUSTICS_BACKGROUND_NOISE_DB,8c9fd02a-9caa-56df-8791-63e6d6ccd7c1,NUMBER,PER_SUST,Type,Per Acoustics Background Noise Db [ISO 19650-1:2018],False,,,REGULATORY,1,0
Generic Models,LS_STATUS_TXT,c416f32a-59da-493c-9a94-cc6cc238153f,TEXT,TPL_TRACKING,Type,Line style status [ISO 19650-2:2018],False,,,MULTI,1,0
Generic Models,PH_NUMBER_INT,a9b92c2b-d5a5-47ab-a3a1-9cec4e1f4c31,INTEGER,TPL_TRACKING,Type,Phase sequence number [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,HVC_TERMINAL_PATTERN_TXT,c22dc02b-885d-51a6-a02b-10e8b225d871,TEXT,HVC_SYSTEMS,Type,Hvc Terminal Pattern Txt [ISO 19650-1:2018],False,,,HVAC,1,0
Generic Models,CST_TOTAL_SAND_COST,d090e92b-0946-4c30-a1cc-f03d1fd653c7,CURRENCY,COM_DAT,Type,Total sand cost in UGX [ISO 19650-3:2020],True,CST_CALC_SAND_M3 * CST_UNIT_PRICE_SAND_UGX,"CST_CALC_SAND_M3, CST_UNIT_PRICE_SAND_UGX",COSTING,0,1
Generic Models,ASS_DEPARTMENT_ASSIGNMENT_TXT,f6d2f12b-d9af-5383-86c3-a3c3c937083d,TEXT,ASS_MNG,Type,Ass Department Assignment Txt [ISO 19650-3:2020],False,,,MULTI,1,0
Generic Models,BLE_LOAD_BEARING_ELE_BOOL,c030212c-74eb-5f11-9bf2-7fa34fac598f,YESNO,CST_PROC,Type,Ble Load Bearing Ele Bool [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,ASS_MNG,Type,Ass Cst Annual Maintenance Ugx Nr [ISO 19650-3:2020],False,,,MULTI,1,0
Generic Models,CST_S_MAS_BRICK_WASTAGE_NR,660e172d-222e-5d2c-9a2c-3cad7c377970,NUMBER,COM_DAT,Type,Cst S Mas Brick Wastage Nr [ISO 19650-2:2018],False,,,COSTING,1,0
Generic Models,CST_ENERGY_ANNUAL_UGX_NUM_NR,18b42e2d-7570-5ece-b334-f68dec24c7a4,CURRENCY,COM_DAT,Type,Cst Energy Annual Ugx Num Nr [ISO 19650-2:2018],True,ELC_ENERGY_COST_UGX_PA,ELC_ENERGY_COST_UGX_PA,SUSTAINABILITY,0,0
Generic Models,ELC_LP_EARTH_RES_OHMS,ce2fc22d-99f9-58c1-91f6-26bebf223b4e,NUMBER,ELC_PWR,Type,Elc Lp Earth Res Ohms [ISO 19650-1:2018],True,"if(ELC_LP_SOIL_RESIST_OHM_M < 50, 10, if(ELC_LP_SOIL_RESIST_OHM_M < 100, 15, 25))",ELC_LP_SOIL_RESIST_OHM_M,ELECTRICAL,0,0
Generic Models,PLM_STR_SCREEN_MAT_TXT,727cf62d-aea1-59ea-b976-1f1aff5e5474,TEXT,PLM_DRN,Type,Plm Str Screen Mat Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Generic Models,PER_ACOUSTICS_REVERBERATION_TIME_SEC_NR,93f8cf2e-0df2-5468-a74d-ca7d6cfd0e3e,NUMBER,PER_SUST,Type,Per Acoustics Reverberation Time Sec Nr [ISO 19650-1:2018],True,0.161 * ASS_ROOM_VOLUME_CU_M / (BLE_CEILING_NOISE_REDCTION_COEFFICIENT_NRC_NR * BLE_CEILING_AREA_SQ_M + 1),"ASS_ROOM_VOLUME_CU_M, BLE_CEILING_NOISE_REDCTION_COEFFICIENT_NRC_NR, BLE_CEILING_AREA_SQ_M",SUSTAINABILITY,0,1
Generic Models,FLT_USED_IN_TEMPLATES_TXT,9249912f-be7c-471f-9b5f-d10d44f6cefc,TEXT,TPL_TRACKING,Type,Templates using this filter [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,CST_SPECIAL_EQUIPMENT_TXT,8632bb2f-726f-568a-9708-35cd5b601298,TEXT,COM_DAT,Type,Cst Special Equipment Txt [ISO 19650-2:2018],False,,,COSTING,1,0
Generic Models,FLT_LINE_COLOR_B_INT,49c62e30-2a0b-40e7-8a7e-e2d509a4614d,INTEGER,TPL_TRACKING,Type,Override line color blue [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,PLM_EXJ_AXIAL_MOVEMENT_MM,07617d30-6ba7-51ce-ba16-83fcea148b46,LENGTH,PLM_DRN,Type,Plm Exj Axial Movement Mm [ISO 19650-1:2018],False,,,PLUMBING,1,0
Generic Models,CST_S_EAR_GEOTEXTILE_AREA_SQ_M,830c7f30-1bf4-5df7-a4d4-91de7c06832b,AREA,COM_DAT,Type,Cst S Ear Geotextile Area Sq M [ISO 19650-2:2018],False,,,COSTING,1,0
Generic Models,BLE_APP-IDENTITY-CLASS,c6bb8c31-a04c-5beb-be66-fe2f681e2038,TEXT,CST_PROC,Instance,Ble App-identity-class [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,PLM_STRAINER_PRESSURE_RATING_BAR,9642cb31-ebe8-5019-8045-5460a30d91e3,PRESSURE,PLM_DRN,Type,Plm Strainer Pressure Rating Bar [ISO 19650-1:2018],False,,,PLUMBING,1,0
Generic Models,COM_C_NETWORK_ADDRESS_TXT,02383c32-edc5-57f2-9214-56d9b2da9c29,TEXT,COM_DAT,Type,Com C Network Address Txt [ISO 19650-1:2018],False,,,COSTING,1,0
Generic Models,BLE_STAIR_NOSING_TYPE_TXT,54f17432-1a55-583a-a92d-905ca54279a8,TEXT,BLE_STRUCTURE,Type,Hvc Stair Nosing Type Txt [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,PRJ_INFORMATION_SPARE_01_TXT,7080d132-e4e6-4b1c-9419-8f8403f52183,TEXT,PRJ_INFORMATION,Type,Spare parameter 1 for PRJ_INFORMATION group,False,,,MULTI,1,0
Generic Models,FLS_SFTY_SEC_EXIT_SIGNAGE_BOOL,f4267133-087d-57a1-8f3d-c36bf3df6670,YESNO,FLS_LIFE_SFTY,Type,Fls Sfty Sec Exit Signage Bool [ISO 19650-1:2018],False,,,FIRE,1,0
Generic Models,DS_TEXT_SIZE_NR,62aaa434-fb79-426d-b5c7-79498e70bffb,NUMBER,TPL_TRACKING,Type,Text size in mm [ISO 19650-1:2018],False,,,MULTI,1,0
Generic Models,BLE_WINDOW_TYPE_CLASSIFICATION_TXT,2226d834-1132-5fa8-a468-19fbb11000d4,TEXT,CST_PROC,Type,Ble Window Type Classification Txt [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
Generic Models,CST_PROC_SPARE_01_TXT,b6786335-7301-48fc-93ff-f3153fb0479f,TEXT,COM_DAT,Type,Spare parameter 1 for CST_PROC group,False,,,COSTING,1,0
Generic Models,CST_S_REI_OVERLAP_LENGTH_MM,70f66f35-e82f-5c46-a186-b4871d24a676,LENGTH,COM_DAT,Type,Cst S Rei Overlap Length Mm [ISO 19650-2:2018],False,,,COSTING,1,0
Generic Models,CST_PROC_SPARE_02_TXT,b77f8735-559e-4401-a55b-099131121f45,TEXT,COM_DAT,Type,Spare parameter 2 for CST_PROC group,False,,,COSTING,1,0
Generic Models,PLM_DRN_CLEANOUT_LOCS_TXT,9508b135-39c0-5e8e-9347-7a9112227605,TEXT,PLM_DRN,Type,Plm Drn Cleanout Locs Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Generic Models,TS_STATUS_TXT,1c92cd35-b5ad-4d5c-8954-9aa37cd116a3,TEXT,TPL_TRACKING,Type,Text style status [ISO 19650-2:2018],False,,,MULTI,1,0
Generic Models,VT_VIEW_TYPE_TXT,8dd2e735-f00f-45cd-8ff5-f339e352efab,TEXT,TPL_TRACKING,Type,"View type (FloorPlan, Section, etc.) [ISO 19650-1:2018]",False,,,TEMPLATE_METADATA,1,0
Generic Models,PLM_DRN_SPARE_01_TXT,c10aea36-f75a-4c42-bb72-d4f104b3a92a,TEXT,PLM_DRN,Type,Spare parameter 1 for PLM_DRN group,False,,,PLUMBING,1,0
Generic Models,BLE_STAIR_WIDTH_MM,dcaea437-8a54-5727-8011-81e5713d7054,LENGTH,CST_PROC,Type,Ble Stair Width Mm [ISO 19650-1:2018],False,,,ARCHITECTURAL,1,0
