# v2.3 | 20260227 | BIM Template category_bindings
Parameter_Name,Revit_Category,Binding_Type,Is_Shared
ASS_DESCRIPTION_TXT,Ramps,Type,True
ASS_DESCRIPTION_TXT,Roofs,Type,True
ASS_DESCRIPTION_TXT,Rooms,Type,True
ASS_DESCRIPTION_TXT,Specialty Equipment,Type,True
ASS_DESCRIPTION_TXT,Sprinklers,Type,True
ASS_DESCRIPTION_TXT,Stairs,Type,True
ASS_DESCRIPTION_TXT,Walls,Type,True
ASS_DESCRIPTION_TXT,Windows,Type,True
ASS_DESIGN_LTG_LVL_LUX_NR,Air Terminals,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Cable Trays,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Casework,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Conduits,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Electrical Equipment,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Electrical Fixtures,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Furniture,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Generic Models,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Lighting Fixtures,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Mechanical Equipment,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Plumbing Equipment,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Plumbing Fixtures,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Specialty Equipment,Instance,True
ASS_DESIGN_LTG_LVL_LUX_NR,Sprinklers,Instance,True
ASS_DESIGN_OCCUPANCY_INT,Air Terminals,Type,True
ASS_DESIGN_OCCUPANCY_INT,Cable Trays,Type,True
ASS_DESIGN_OCCUPANCY_INT,Casework,Type,True
ASS_DESIGN_OCCUPANCY_INT,Conduits,Type,True
ASS_DESIGN_OCCUPANCY_INT,Electrical Equipment,Type,True
ASS_DESIGN_OCCUPANCY_INT,Electrical Fixtures,Type,True
ASS_DESIGN_OCCUPANCY_INT,Furniture,Type,True
ASS_DESIGN_OCCUPANCY_INT,Generic Models,Type,True
ASS_DESIGN_OCCUPANCY_INT,Lighting Fixtures,Type,True
ASS_DESIGN_OCCUPANCY_INT,Mechanical Equipment,Type,True
ASS_DESIGN_OCCUPANCY_INT,Plumbing Equipment,Type,True
ASS_DESIGN_OCCUPANCY_INT,Plumbing Fixtures,Type,True
ASS_DESIGN_OCCUPANCY_INT,Specialty Equipment,Type,True
ASS_DESIGN_OCCUPANCY_INT,Sprinklers,Type,True
ASS_DISCIPLINE_COD_TXT,Air Terminals,Type,True
ASS_DISCIPLINE_COD_TXT,Cable Trays,Type,True
ASS_DISCIPLINE_COD_TXT,Casework,Type,True
ASS_DISCIPLINE_COD_TXT,Conduits,Type,True
ASS_DISCIPLINE_COD_TXT,Electrical Equipment,Type,True
ASS_DISCIPLINE_COD_TXT,Electrical Fixtures,Type,True
ASS_DISCIPLINE_COD_TXT,Furniture,Type,True
ASS_DISCIPLINE_COD_TXT,Generic Models,Type,True
ASS_DISCIPLINE_COD_TXT,Lighting Fixtures,Type,True
ASS_DISCIPLINE_COD_TXT,Mechanical Equipment,Type,True
ASS_DISCIPLINE_COD_TXT,Plumbing Equipment,Type,True
ASS_DISCIPLINE_COD_TXT,Plumbing Fixtures,Type,True
ASS_DISCIPLINE_COD_TXT,Specialty Equipment,Type,True
ASS_DISCIPLINE_COD_TXT,Sprinklers,Type,True
ASS_EQUIPMENT_TAG_TXT,Air Terminals,Type,True
ASS_EQUIPMENT_TAG_TXT,Cable Trays,Type,True
ASS_EQUIPMENT_TAG_TXT,Casework,Type,True
ASS_EQUIPMENT_TAG_TXT,Conduits,Type,True
ASS_EQUIPMENT_TAG_TXT,Electrical Equipment,Type,True
ASS_EQUIPMENT_TAG_TXT,Electrical Fixtures,Type,True
ASS_EQUIPMENT_TAG_TXT,Furniture,Type,True
ASS_EQUIPMENT_TAG_TXT,Generic Models,Type,True
ASS_EQUIPMENT_TAG_TXT,Lighting Fixtures,Type,True
ASS_EQUIPMENT_TAG_TXT,Mechanical Equipment,Type,True
ASS_EQUIPMENT_TAG_TXT,Plumbing Equipment,Type,True
ASS_EQUIPMENT_TAG_TXT,Plumbing Fixtures,Type,True
ASS_EQUIPMENT_TAG_TXT,Specialty Equipment,Type,True
ASS_EQUIPMENT_TAG_TXT,Sprinklers,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Air Terminals,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Cable Trays,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Casework,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Conduits,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Electrical Equipment,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Electrical Fixtures,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Furniture,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Generic Models,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Lighting Fixtures,Type,True
ASS_EXPECTED_LIFE_YEARS_YRS,Mechanical Equipment,Type,True
