# Parameter->Category binding accuracy audit — generated by gen_audit.py (not verified in Revit)
# BindingBefore = pre-fix runtime binding (group override or ALL element categories)
# BindingAfter  = post-fix runtime binding (universal->ALL; else per-param CATEGORY_BINDINGS.csv; else group override; else GAP=ALL)
Parameter,Prefix,Group,BindingBefore,BindingAfter,OnDuctsBefore,OnDuctsAfter,Flag
ELC_TAG_7_PARA_CIRCUIT_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TAG_7_PARA_CIRC_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TAG_7_PARA_COMM_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TAG_7_PARA_CONDUIT_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TAG_7_PARA_ELC_CONNECTORS_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TAG_7_PARA_FAB_CONTAINMENT_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TAG_7_PARA_FIXTURE_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TAG_7_PARA_LPS_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TAG_7_PARA_PANEL_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TAG_7_PARA_TIEIN_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TAG_7_PARA_TRAY_TXT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_TRANSFER_LOAD_OK,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_UPS_REPLACE_DT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_VOLTAGE_V,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_AMPACITY_A,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_ANGLE_DEG,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_COLOR_CODE_INT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_COMPACT_BOOL,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_LINE_WEIGHT_INT,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_OFFSET_MM,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_SCALE_FACTOR,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_SHOW_AMPACITY_BOOL,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_SHOW_DIA_BOOL,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_SHOW_FILL_BOOL,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_SHOW_VD_BOOL,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_SLASH_LEN_MM,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ANNOT_SPACING_MM,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
ELC_WIRE_ARMOURED_BOOL,ELC,ELC_PWR,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Mechanical Equipment|Air Terminals|Ducts|Duct Fittings|Duct Accessories|Flex Ducts|Pipes|Pipe Fittings|Pipe Accessories|Flex Pipes|Plumbing Fixtures|Sprinklers|Electrical Equipment|Electrical Fixtures|Lighting Fixtures|Lighting Devices|Cable Trays|Cable Tray Fittings|Conduits|Conduit Fittings|Communication Devices|Data Devices|Fire Alarm Devices|Nurse Call Devices|Security Devices|Telephone Devices|Electrical Circuits,Y,Y,OK
